Tipo de ensayo;"Número de
análisis";Entidad comercial remitente;"Valor obtenido
del ensayo"
Granulometría - Malla 5660 µm;7481;GRUPO ALIMENTICIO S.A.;11,30
Granulometría - Malla 5660 µm;7489;GRUPO ALIMENTICIO S.A.;3,50
Granulometría - Malla 5660 µm;7493;ALIMENTOS TANDIL S.A.;7,90
Granulometría - Malla 5660 µm;7494;GRUPO ALIMENTICIO S.A.;4,10
Granulometría - Malla 5660 µm;7524;GRUPO ALIMENTICIO S.A.;6,60
Granulometría - Malla 5660 µm;7545;GRANAM;4,60
Granulometría - Malla 5660 µm;7547;GRANAM;5,20
Granulometría - Malla 5660 µm;7550;GRANAM;4,60
Granulometría - Malla 5660 µm;7554;GRANAM;2,60
Granulometría - Malla 5660 µm;7555;GRANAM;3,60
Granulometría - Malla 5660 µm;7557;GRANAM;3,60
Granulometría - Malla 5660 µm;7571;GRUPO ALIMENTICIO S.A.;4,60
Granulometría - Malla 5660 µm;7577;GRANAM;9,80
Granulometría - Malla 5660 µm;7581;GRANAM;8,40
Granulometría - Malla 5660 µm;7595;GRANAM;8,60
Granulometría - Malla 5660 µm;7604;GRUPO ALIMENTICIO S.A.;5,80
Granulometría - Malla 5660 µm;7607;GRUPO ALIMENTICIO S.A.;7,40
Granulometría - Malla 5660 µm;7608;GRUPO ALIMENTICIO S.A.;4,00
Granulometría - Malla 5660 µm;7609;GRUPO ALIMENTICIO S.A.;4,60
Granulometría - Malla 5660 µm;7623;GRUPO ALIMENTICIO S.A.;7,30
Granulometría - Malla 5660 µm;7625;GRANAM;4,80
Granulometría - Malla 5660 µm;7631;ALIMENTOS TANDIL S.A.;7,90
Granulometría - Malla 5660 µm;7643;GRUPO ALIMENTICIO S.A.;7,90
Granulometría - Malla 5660 µm;7647;ALIMENTOS TANDIL S.A.;6,90
Granulometría - Malla 5660 µm;7648;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 5660 µm;7659;GRUPO ALIMENTICIO S.A.;7,30
Granulometría - Malla 5660 µm;7661;ALIMENTOS TANDIL S.A.;4,50
